mode,question_type,provider,model,template_alias,total_queries,refusal_rate,mean_llm_graded_score,median_llm_graded_score,std_llm_graded_score,min_llm_graded_score,max_llm_graded_score,llm_score_0_count,llm_score_0_pct,llm_score_1_count,llm_score_1_pct,llm_score_2_count,llm_score_2_pct,llm_score_3_count,llm_score_3_pct,llm_score_4_count,llm_score_4_pct,nem_accuracy,nem_mean_relative_error,nem_median_relative_error,llm_binary_accuracy,llm_binary_mean_relative_error,llm_binary_median_relative_error,nem_llm_agreement_rate,mean_token_f1,median_token_f1,std_token_f1,min_token_f1,max_token_f1,mean_token_precision,mean_token_recall
closed_book,domain-relevant,openai,gpt-4o-mini,domain_closed_basic,50,0.04,1.5,1.0,1.373956004405096,0.0,4.0,16.0,32.0,11.0,22.0,11.0,22.0,6.0,12.0,6.0,12.0,,,,,,,,,,,,,,
closed_book,metrics-generated,openai,gpt-4o,metrics_closed_basic,50,0.04,,,,,,,,,,,,,,,,38.0,2821.4137439828423,9.875258223422847,34.0,3534.8095773161754,16.16933125972006,96.0,,,,,,,
closed_book,metrics-generated,openai,gpt-4o-mini,metrics_closed_basic,50,0.04,,,,,,,,,,,,,,,,18.0,1321.5189730563302,27.200000000000003,16.0,9350.91126029037,27.767695099818518,98.0,,,,,,,
closed_book,novel-generated,openai,gpt-4o-mini,novel_closed_basic,50,0.02,1.48,1.0,1.4602208387635014,,,18.0,36.0,10.0,20.0,10.0,20.0,4.0,8.0,8.0,16.0,,,,,,,,0.2988478649259654,0.2330316742081448,0.23766570067602938,0.0,0.9142857142857143,0.3528722580767473,0.33320975868012004
oracle,domain-relevant,openai,gpt-4o-mini,domain_rag_basic,50,0.0,2.48,3.0,1.4032033323209914,0.0,4.0,6.0,12.0,8.0,16.0,8.0,16.0,12.0,24.0,16.0,32.0,,,,,,,,,,,,,,
oracle,metrics-generated,openai,gpt-4o,metrics_rag_basic,50,0.0,,,,,,,,,,,,,,,,94.0,171.08641405915552,0.0,90.0,655.6961640591554,0.0,96.0,,,,,,,
oracle,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic,50,0.0,,,,,,,,,,,,,,,,90.0,173.658189277287,0.0,86.0,852.7356059439536,0.0,96.0,,,,,,,
oracle,novel-generated,openai,gpt-4o-mini,novel_rag_basic,50,0.02,2.72,3.0,1.4002915148391823,,,7.0,14.000000000000002,2.0,4.0,9.0,18.0,12.0,24.0,20.0,40.0,,,,,,,,0.413638099664079,0.4105263157894737,0.22882191808806038,0.0,0.9333333333333333,0.4791216511534917,0.4776676766322423
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk1024_rerank_k20,50,0.0,,,,,,,,,,,,,,,,82.0,2000111.4590333616,0.0,82.0,2465.6973099762,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk2048_rerank_k20,50,0.0,,,,,,,,,,,,,,,,90.0,2180.2166804732956,0.0,86.0,2576.1540971399622,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk512_baseline_k20,50,0.0,,,,,,,,,,,,,,,,78.0,106.26546145199191,0.0,76.0,1591.2028781186586,0.0,98.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk512_rerank_k20,50,0.0,,,,,,,,,,,,,,,,80.0,2815.183186207091,0.0,76.0,4369.05393620709,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk1024_rerank_k20,50,0.0,,,,,,,,,,,,,,,,88.0,2180.3869826518926,0.0,84.0,2859.1361493185595,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk2048_rerank_k20,50,0.0,,,,,,,,,,,,,,,,90.0,2181.92229332131,0.0,86.0,2861.0754599879765,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk512_baseline_k20,50,0.0,,,,,,,,,,,,,,,,84.0,2209.3204389723587,0.0,80.0,2888.031188972359,0.0,96.0,,,,,,,
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk512_rerank_k20,50,0.0,,,,,,,,,,,,,,,,80.0,4125.092347231346,0.0,76.0,4804.169763898013,0.0,96.0,,,,,,,
rag,novel-generated,openai,gpt-4o-mini,novel_rag_basic_global_chunk1024_rerank_k20,50,0.0,2.38,3.0,1.7366399648018407,,,14.0,28.000000000000004,4.0,8.0,3.0,6.0,7.0,14.000000000000002,22.0,44.0,,,,,,,,0.37806453978038385,0.41052631578947374,0.22923673457893767,0.0,0.9696969696969697,0.41210620950139903,0.4843929491817661
rag,novel-generated,openai,gpt-4o-mini,novel_rag_basic_global_chunk2048_rerank_k20,50,0.0,2.52,3.0,1.6566501730656258,,,11.0,22.0,5.0,10.0,4.0,8.0,7.0,14.000000000000002,23.0,46.0,,,,,,,,0.3605571601497886,0.373546511627907,0.23566316568046133,0.0,0.9142857142857143,0.38799867552705175,0.46475989243427995
